tournaments.RoundRobinTournament
AIs
	lightari
	AgentP(AStarPathFinding)
	mayari
	WorkerRush(AStarPathFinding)
	CoacAI(AStarPathFinding)
	RandomAI
maps
	/home/nickadkins47/CS4900/CS4900-PA3/maps/16x16/basesWorkers16x16A.xml
iterations	100
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
5	0	2	0	1303	0	-1	-1
5	0	2	1	945	0	-1	-1
5	0	2	3	975	0	-1	-1
5	0	2	4	906	1	-1	-1
5	0	2	5	835	0	-1	-1
5	0	3	0	380	0	-1	-1
5	0	3	1	3000	-1	-1	-1
5	0	3	2	1127	1	-1	-1
5	0	3	4	860	1	-1	-1
5	0	3	5	465	0	-1	-1
5	0	4	0	895	0	-1	-1
5	0	4	1	1745	0	-1	-1
5	0	4	2	977	0	-1	-1
5	0	4	3	525	1	-1	-1
5	0	4	5	765	0	-1	-1
5	0	5	0	862	1	-1	-1
5	0	5	1	735	1	-1	-1
5	0	5	2	897	1	-1	-1
5	0	5	3	425	1	-1	-1
5	0	5	4	845	1	-1	-1
6	0	0	1	808	1	-1	-1
6	0	0	2	1918	1	-1	-1
6	0	0	3	430	1	-1	-1
6	0	0	4	1150	1	-1	-1
6	0	0	5	796	0	-1	-1
6	0	1	0	540	0	-1	-1
6	0	1	2	795	0	-1	-1
6	0	1	3	1445	1	-1	-1
6	0	1	4	2736	1	-1	-1
6	0	1	5	670	0	-1	-1
6	0	2	0	1316	0	-1	-1
6	0	2	1	1410	0	-1	-1
6	0	2	3	939	0	-1	-1
6	0	2	4	906	1	-1	-1
6	0	2	5	1057	0	-1	-1
6	0	3	0	420	0	-1	-1
6	0	3	1	3000	-1	-1	-1
6	0	3	2	1255	1	-1	-1
6	0	3	4	860	1	-1	-1
6	0	3	5	385	0	-1	-1
6	0	4	0	885	0	-1	-1
6	0	4	1	1745	0	-1	-1
